developer-friendly name,VARIABLE NAME
program.certificate_lt_1_yr.family_consumer_science,CIP19CERT1
program.certificate_lt_2_yr.family_consumer_science,CIP19CERT2
program.assoc.family_consumer_science,CIP19ASSOC
program.certificate_lt_4_yr.family_consumer_science,CIP19CERT4
program.bachelors.family_consumer_science,CIP19BACHL
program.certificate_lt_1_yr.legal,CIP22CERT1
program.certificate_lt_2_yr.legal,CIP22CERT2
program.assoc.legal,CIP22ASSOC
program.certificate_lt_4_yr.legal,CIP22CERT4
program.bachelors.legal,CIP22BACHL
program.certificate_lt_1_yr.english,CIP23CERT1
program.certificate_lt_2_yr.english,CIP23CERT2
program.assoc.english,CIP23ASSOC
program.certificate_lt_4_yr.english,CIP23CERT4
program.bachelors.english,CIP23BACHL
program.certificate_lt_1_yr.humanities,CIP24CERT1
program.certificate_lt_2_yr.humanities,CIP24CERT2
program.assoc.humanities,CIP24ASSOC
program.certificate_lt_4_yr.humanities,CIP24CERT4
program.bachelors.humanities,CIP24BACHL
program.certificate_lt_1_yr.library,CIP25CERT1
program.certificate_lt_2_yr.library,CIP25CERT2
program.assoc.library,CIP25ASSOC
program.certificate_lt_4_yr.library,CIP25CERT4
program.bachelors.library,CIP25BACHL
program.certificate_lt_1_yr.biological,CIP26CERT1
program.certificate_lt_2_yr.biological,CIP26CERT2
program.assoc.biological,CIP26ASSOC
program.certificate_lt_4_yr.biological,CIP26CERT4
program.bachelors.biological,CIP26BACHL
program.certificate_lt_1_yr.mathematics,CIP27CERT1
program.certificate_lt_2_yr.mathematics,CIP27CERT2
program.assoc.mathematics,CIP27ASSOC
program.certificate_lt_4_yr.mathematics,CIP27CERT4
program.bachelors.mathematics,CIP27BACHL
program.certificate_lt_1_yr.military,CIP29CERT1
program.certificate_lt_2_yr.military,CIP29CERT2
program.assoc.military,CIP29ASSOC
program.certificate_lt_4_yr.military,CIP29CERT4
program.bachelors.military,CIP29BACHL
program.certificate_lt_1_yr.multidiscipline,CIP30CERT1
program.certificate_lt_2_yr.multidiscipline,CIP30CERT2
program.assoc.multidiscipline,CIP30ASSOC
program.certificate_lt_4_yr.multidiscipline,CIP30CERT4
program.bachelors.multidiscipline,CIP30BACHL
program.certificate_lt_1_yr.parks_recreation_fitness,CIP31CERT1
program.certificate_lt_2_yr.parks_recreation_fitness,CIP31CERT2
program.assoc.parks_recreation_fitness,CIP31ASSOC
program.certificate_lt_4_yr.parks_recreation_fitness,CIP31CERT4
program.bachelors.parks_recreation_fitness,CIP31BACHL
program.certificate_lt_1_yr.philosophy_religious,CIP38CERT1
program.certificate_lt_2_yr.philosophy_religious,CIP38CERT2
program.assoc.philosophy_religious,CIP38ASSOC
program.certificate_lt_4_yr.philosophy_religious,CIP38CERT4
program.bachelors.philosophy_religious,CIP38BACHL
program.certificate_lt_1_yr.theology_religious_vocation,CIP39CERT1
program.certificate_lt_2_yr.theology_religious_vocation,CIP39CERT2
program.assoc.theology_religious_vocation,CIP39ASSOC
program.certificate_lt_4_yr.theology_religious_vocation,CIP39CERT4
program.bachelors.theology_religious_vocation,CIP39BACHL
program.certificate_lt_1_yr.physical_science,CIP40CERT1
program.certificate_lt_2_yr.physical_science,CIP40CERT2
program.assoc.physical_science,CIP40ASSOC
program.certificate_lt_4_yr.physical_science,CIP40CERT4
program.bachelors.physical_science,CIP40BACHL
program.certificate_lt_1_yr.science_technology,CIP41CERT1
program.certificate_lt_2_yr.science_technology,CIP41CERT2
program.assoc.science_technology,CIP41ASSOC
program.certificate_lt_4_yr.science_technology,CIP41CERT4
program.bachelors.science_technology,CIP41BACHL
program.certificate_lt_1_yr.psychology,CIP42CERT1
program.certificate_lt_2_yr.psychology,CIP42CERT2
program.assoc.psychology,CIP42ASSOC
program.certificate_lt_4_yr.psychology,CIP42CERT4
program.bachelors.psychology,CIP42BACHL
program.certificate_lt_1_yr.security_law_enforcement,CIP43CERT1
program.certificate_lt_2_yr.security_law_enforcement,CIP43CERT2
program.assoc.security_law_enforcement,CIP43ASSOC
program.certificate_lt_4_yr.security_law_enforcement,CIP43CERT4
program.bachelors.security_law_enforcement,CIP43BACHL
program.certificate_lt_1_yr.public_administration_social_service,CIP44CERT1
program.certificate_lt_2_yr.public_administration_social_service,CIP44CERT2
program.assoc.public_administration_social_service,CIP44ASSOC
program.certificate_lt_4_yr.public_administration_social_service,CIP44CERT4
program.bachelors.public_administration_social_service,CIP44BACHL
program.certificate_lt_1_yr.social_science,CIP45CERT1
program.certificate_lt_2_yr.social_science,CIP45CERT2
program.assoc.social_science,CIP45ASSOC
program.certificate_lt_4_yr.social_science,CIP45CERT4
program.bachelors.social_science,CIP45BACHL
program.certificate_lt_1_yr.construction,CIP46CERT1
program.certificate_lt_2_yr.construction,CIP46CERT2
program.assoc.construction,CIP46ASSOC
program.certificate_lt_4_yr.construction,CIP46CERT4
program.bachelors.construction,CIP46BACHL
program.certificate_lt_1_yr.mechanic_repair_technology,CIP47CERT1
program.certificate_lt_2_yr.mechanic_repair_technology,CIP47CERT2
program.assoc.mechanic_repair_technology,CIP47ASSOC
program.certificate_lt_4_yr.mechanic_repair_technology,CIP47CERT4
program.bachelors.mechanic_repair_technology,CIP47BACHL
program.certificate_lt_1_yr.precision_production,CIP48CERT1
program.certificate_lt_2_yr.precision_production,CIP48CERT2
program.assoc.precision_production,CIP48ASSOC
program.certificate_lt_4_yr.precision_production,CIP48CERT4
program.bachelors.precision_production,CIP48BACHL
program.certificate_lt_1_yr.transportation,CIP49CERT1
program.certificate_lt_2_yr.transportation,CIP49CERT2
program.assoc.transportation,CIP49ASSOC
program.certificate_lt_4_yr.transportation,CIP49CERT4
program.bachelors.transportation,CIP49BACHL
program.certificate_lt_1_yr.visual_performing,CIP50CERT1
program.certificate_lt_2_yr.visual_performing,CIP50CERT2
program.assoc.visual_performing,CIP50ASSOC
program.certificate_lt_4_yr.visual_performing,CIP50CERT4
program.bachelors.visual_performing,CIP50BACHL
program.certificate_lt_1_yr.health,CIP51CERT1
program.certificate_lt_2_yr.health,CIP51CERT2
program.assoc.health,CIP51ASSOC
program.certificate_lt_4_yr.health,CIP51CERT4
program.bachelors.health,CIP51BACHL
program.certificate_lt_1_yr.business_marketing,CIP52CERT1
program.certificate_lt_2_yr.business_marketing,CIP52CERT2
program.assoc.business_marketing,CIP52ASSOC
program.certificate_lt_4_yr.business_marketing,CIP52CERT4
program.bachelors.business_marketing,CIP52BACHL
program.certificate_lt_1_yr.history,CIP54CERT1
program.certificate_lt_2_yr.history,CIP54CERT2
program.assoc.history,CIP54ASSOC
program.certificate_lt_4_yr.history,CIP54CERT4
program.bachelors.history,CIP54BACHL
online_only,DISTANCEONLY
size,UGDS
enrollment.all,UG
demographics.race_ethnicity.white,UGDS_WHITE
demographics.race_ethnicity.black,UGDS_BLACK
demographics.race_ethnicity.hispanic,UGDS_HISP
demographics.race_ethnicity.asian,UGDS_ASIAN
demographics.race_ethnicity.aian,UGDS_AIAN
demographics.race_ethnicity.nhpi,UGDS_NHPI
demographics.race_ethnicity.two_or_more,UGDS_2MOR
demographics.race_ethnicity.non_resident_alien,UGDS_NRA
demographics.race_ethnicity.unknown,UGDS_UNKN
demographics.race_ethnicity.white_non_hispanic,UGDS_WHITENH
demographics.race_ethnicity.black_non_hispanic,UGDS_BLACKNH
